#scientific name	type materials and coidentical strains	has individual sequences?	has complete genomes or assemblies?
Pectobacterium wasabiae	 ATCC 43316, ATCC:43316, BCCM/LMG:8404, CFBP 3304, CFBP:3304, CIP 105194, CIP:105194, DSM 18074, ICMP 9121, ICMP:9121, LMG 8404, LMG:8404, NCPPB 3701, NCPPB:3701, PDDCC 9121, PDDCC:9121, SR 91, SR91	yes	yes
Macrochaete lichenoides	 SAG 32.92, SAG:32.92	yes	no
Dethiosulfatarculus sandiegensis	 DSM 100305, DSM:100305, JCM 30857, JCM:30857, SPR	yes	yes
Porphyromonas pasteri	 CCUG 66735, CCUG:66735, JCM 30531, JCM:30531, KUFDS01	yes	no
Kocuria polaris	 CMS 76or, DSM 14382, DSM:14382, JCM 12076, JCM:12076, MTCC 3702, MTCC:3702, NBRC 103063, NBRC:103063	yes	yes
Lysinimicrobium gelatinilyticum	 DSM 28149, DSM:28149, HI12-44, NBRC 109390, NBRC:109390	yes	yes
Streptomyces olivochromogenes	 ATCC 25479, ATCC 3336, ATCC:25479, ATCC:3336, CBS 889.69, CBS:889.69, DSM 40451, DSM:40451, IFO 13067, IFO 3178, IFO:13067, IFO:3178, IMET 40352, IMET:40352, ISP 5451, ISP:5451, JCM 4163, JCM 4500, JCM:4163, JCM:4500, KCTC 9064, KCTC:9064, NBRC 13067, NBRC 3178, NBRC:13067, NBRC:3178, NRRL B-1341, NRRL ISP-5451, NRRL-ISP 5451, NRRL-ISP:5451, NRRL:B:1341, RIA 1259, RIA:1259	yes	yes
Lactobacillus zeae	 ATCC 15820, ATCC:15820, BCCM/LMG:17315, CCUG 35515, CCUG:35515, DSM 20178, DSM:20178, JCM 11302, JCM:11302, LMG 17315, LMG:17315, NCIB 9537, NCIB:9537, NCIMB 9537, NCIMB:9537	yes	yes
Nocardia shimofusensis	 DSM 44733, DSM:44733, IFM 10311, IFM:10311, JCM 12122, JCM:12122, NBRC 100134, NBRC:100134	yes	yes
Chitiniphilus shinanonensis	 DSM 23277, DSM:23277, NBRC 104970, NBRC:104970, NCIMB 14509, NCIMB:14509, SAY3	yes	yes
Aeromicrobium alkaliterrae	 DSM 16824, DSM:16824, JCM 13518, JCM:13518, KCTC 19073, KCTC:19073, KSL-107	yes	no
Brevibacillus reuszeri	 ATCC 51665, ATCC:51665, BCCM/LMG:16012, CIP 104543, CIP:104543, DSM 9887, DSM:9887, H.W. Reuszer Army 39, H.W. Reuszer Army strain 39, IFO 15719, IFO:15719, JCM 9170, JCM:9170, LMG 16012, LMG:16012, NBRC 15719, NBRC:15719, NRRL NRS-1206, NRRL:NRS:1206	yes	yes
Deefgea rivuli	 CIP 109326, CIP:109326, DSM 18356, DSM:18356, WB 3.4-79, WB:3.4-79	yes	yes
Nocardioides sediminis	 DSM 19263, DSM:19263, KCTC 19271, KCTC:19271, MSL-01	yes	yes
Gordonia rubripertincta	 ATCC 14352, ATCC 14352 [[Rhodococcus corallinus]], ATCC 25593, ATCC 25593 [[Rhodococcus corallinus]], ATCC:14352, ATCC:25593 [[Rhodococcus corallinus]], BCCM/LMG:5367, BCCM/LMG:5368 [[Rhodococcus corallinus]], CCUG 34957, CCUG 34957 [[Rhodococcus corallinus]], CCUG:34957, CIP 104661, CIP 104661 [[Rhodococcus corallinus]], CIP:104661, DSM 43197, DSM 43197 [[Rhodococcus corallinus]], DSM 43248, DSM 43248 [[Rhodococcus corallinus]], DSM:43197, DSM:43248 [[Rhodococcus corallinus]], JCM 3199, JCM 3199 [[Rhodococcus corallinus]], JCM 3204, JCM 3204 [[Rhodococcus corallinus]], JCM 3227, JCM 3227 [[Rhodococcus corallinus]], JCM:3199 [[Rhodococcus corallinus]], JCM:3204, JCM:3227 [[Rhodococcus corallinus]], LMG 5367, LMG 5367 [[Rhodococcus corallinus]], LMG 5368, LMG 5368 [[Rhodococcus corallinus]], LMG:5367, LMG:5368 [[Rhodococcus corallinus]], N4, N4 [[Rhodococcus corallinus]], NBRC 101908, NBRC 101908 [[Rhodococcus corallinus]], NBRC:101908, NCIB 9664, NCIB 9664 [[Rhodococcus corallinus]], NCIB:9664, NCIMB 9664, NCIMB 9664 [[Rhodococcus corallinus]], NCIMB:9664, NCTC 10668, NCTC 10668 [[Rhodococcus corallinus]], NCTC:10668 [[Rhodococcus corallinus]], VKM Ac-1016, VKM Ac-1016 [[Rhodococcus corallinus]], VKM:Ac:1016	yes	yes
Yuhushiella deserti	 CGMCC 4.5579, CGMCC:4.5579, DSM 45648, DSM:45648, JCM 16584, JCM:16584, RA45	yes	yes
Rhizobium bangladeshense	 BCCM/LMG:28442, BLR175, DSM 29287, DSM:29287, LMG 28442, LMG:28442	yes	no
Thiofaba tepidiphila	 BDA453, DSM 19618, DSM:19618, NBRC 103218, NBRC:103218	no	no
Morococcus cerebrosus	 ATCC 33486, ATCC:33486, CIP 81.93, CIP:81.93, DSM 24335, DSM:24335, NCTC 11393, NCTC:11393, UQM 858, UQM:858	yes	yes
Paenibacillus timonensis	 2301032, CCUG 48216, CCUG:48216, CIP 108005, CIP:108005, DSM 16943, DSM:16943	yes	no
Pseudomonas trivialis	 BCCM/LMG:21464, DSM 14937, DSM:14937, LMG 21464, LMG:21464, P 513/19	yes	yes
Hydrogenophaga atypica	 BSB 41.8, CIP 108118, CIP:108118, DSM 15342, DSM:15342	yes	no
Kocuria tytonicola	 489, DSM 104133, DSM:104133, LMG:29945	yes	yes
Porphyromonas circumdentaria	 ATCC 51356, ATCC:51356, CCUG 41934, CCUG:41934, DSM 103022, JCM 13864, JCM:13864, NCTC 12469, NCTC:12469, VPB 3329, VPB:3329	yes	yes
Anaerobium acetethylicum	 BCCM/LMG:28619, DSM 29698, DSM:29698, GluBS11, KCTC 15450, KCTC:15450, LMG 28619, LMG:28619	yes	yes
Herbaspirillum huttiense	 7-2, 7-2 [[Herbaspirillum huttiense subsp. putei]], 7-2 [[Herbaspirillum putei]], ATCC 14670, ATCC 14670 [[Herbaspirillum huttiense subsp. putei]], ATCC 14670 [[Herbaspirillum putei]], ATCC BAA-806, ATCC BAA-806 [[Herbaspirillum huttiense subsp. putei]], ATCC BAA-806 [[Herbaspirillum putei]], ATCC:14670, BCCM/LMG:2199, CCUG 49453, CCUG 49453 [[Herbaspirillum huttiense subsp. putei]], CCUG 49453 [[Herbaspirillum putei]], CIP 103296, CIP 103296 [[Herbaspirillum huttiense subsp. putei]], CIP 103296 [[Herbaspirillum putei]], CIP:103296, DSM 10281, DSM 10281 [[Herbaspirillum huttiense subsp. putei]], DSM 10281 [[Herbaspirillum putei]], DSM 21883, DSM 21883 [[Herbaspirillum huttiense subsp. putei]], DSM 21883 [[Herbaspirillum putei]], DSM:10281, IAM 14941, IAM 14941 [[Herbaspirillum huttiense subsp. putei]], IAM 14941 [[Herbaspirillum putei]], IAM 15032, IAM 15032 [[Herbaspirillum huttiense subsp. putei]], IAM 15032 [[Herbaspirillum putei]], IAM:14941, JCM 21423, JCM 21423 [[Herbaspirillum huttiense subsp. putei]], JCM 21423 [[Herbaspirillum putei]], JCM 21495, JCM 21495 [[Herbaspirillum huttiense subsp. putei]], JCM 21495 [[Herbaspirillum putei]], JCM:21423, LMG 2199, LMG 2199 [[Herbaspirillum huttiense subsp. putei]], LMG 2199 [[Herbaspirillum putei]], LMG:2199, NBRC 102406, NBRC 102406 [[Herbaspirillum huttiense subsp. putei]], NBRC 102406 [[Herbaspirillum putei]], NBRC 102521, NBRC 102521 [[Herbaspirillum huttiense subsp. putei]], NBRC 102521 [[Herbaspirillum putei]], NBRC:102521	yes	yes
Simiduia areninigrae	 DSM 26448, KCTC 23293, KCTC:23293, M2-5, NCAIM B 02424, NCAIM:B:02424	yes	no
Actinopolymorpha alba	 CCTCC AA 208030, CCTCC:AA:208030, DSM 45243, DSM:45243, JCM 16897, JCM:16897, YIM 48868, YIM:48868	yes	yes
Corynebacterium beticola	 LMG 7187, NCPPB 2256, NCPPB 3128	no	no
Haloferax chudinovii	 DSM 26526, DSM:26526, RS75, VKPM B-11279, VKPM:B:11279	yes	no
Desulfonatronum buryatense	 DSM 26308, DSM:26308, Ki5, VKM B-2477, VKM:B:2477	yes	no
Micromonospora rhizosphaerae	 211018, CGMCC 4.5599, CGMCC:4.5599, DSM 45431, DSM:45431, JCM 17737, JCM:17737	yes	yes
Actinocorallia aurea	 DSM 44434, DSM:44434, IFO 14752, IFO:14752, JCM 16895, JCM:16895, NBRC 14752, NBRC:14752	no	no
Bacillus aurantiacus	 CCM 7447, CCM:7447, DSM 18675, DSM:18675, K1-5, NCAIM B002265	yes	yes
Cesiribacter roseus	 311, CCTCC AB 207142, CCTCC:AB:207142, KACC 15456, KACC:15456	yes	no
Pseudoxanthomonas wuyuanensis	 CGMCC 1.10978, CGMCC:1.10978, DSM 100640, KCTC 23877, KCTC:23877, XC21-2	yes	yes
Halobium salinum	 CGMCC 1.12553, CGMCC:1.12553, JCM 30029, JCM:30029, YJ-8-S	yes	no
Nocardia africana	 ATCC BAA-280, ATCC:BAA:280, CCUG 46122, CCUG:46122, DSM 44491, DSM:44491, JCM 11438, JCM:11438, NBRC 100379, NBRC:100379, NCTC 13181, NCTC:13181, SD769	yes	yes
Nocardiopsis halophila	 A.S.4.1195, CCIM A.S.4.1195, DSM 44494, DSM:44494, IQ-H3, JCM 9892, JCM:9892	yes	yes
Pedobacter himalayensis	 DSM 16196, HHS 22, JCM 12171, JCM:12171, MTCC 6384, MTCC:6384	yes	yes
Nioella aestuarii	 JCM 30752, JCM:30752, KCCM 43135, KCCM:43135, MME-018	yes	no
Desulfovibrio desulfuricans	 ATCC 29577, ATCC:29577, Adams Essex 6, BCCM/LMG:7529, CCUG 34226, CCUG:34226, CIP 107039, CIP:107039, DSM 642, DSM:642, LMG 7529, LMG:7529, NCIB 8307, NCIB:8307, NCIMB 8307, NCIMB:8307, VKM B-1799, VKM:B:1799	yes	yes
Flaviaesturariibacter terrae	 HY03, JCM 31723, JCM:31723, KCTC 52511, KCTC:52511	yes	no
Paenibacillus kribbensis	 AM49, DSM 27933, JCM 11465, JCM:11465, KCTC 0766BP, KCTC:0766BP	yes	yes
Pseudoalteromonas flavipulchra	 ATCC BAA-314, ATCC:BAA:314, BCCM/LMG:20361, DSM 14401, KMM 3630, KMM:3630, LMG 20361, LMG:20361, NCIMB 2033, NCIMB:2033	yes	yes
Thaumasiovibrio subtropicus	 C4V358, DSM 101555, DSM:101555, JCM 31630, JCM:31630	yes	yes
Actinomadura fibrosa	 A82810.1, ATCC 49459, ATCC:49459, DSM 44224, DSM:44224, IMSNU 22177, IMSNU:22177, JCM 9371, JCM:9371, NRRL 18348, NRRL:18348	yes	no
Sphingorhabdus pacifica	 JCM 30177, JCM:30177, KMM 9574, KMM:9574, NRIC 0922, NRIC:0922	yes	no
Bradyrhizobium stylosanthis	 BR 446, CNPSo 2823, H-8, HAMBI 3668, HAMBI:3668	yes	yes
Heliobacterium chlorum	 ATCC 35205, ATCC:35205, DSM 3682, DSM:3682, Gest/Favinger	yes	no
Jannaschia seohaensis	 CCUG 55326, CCUG:55326, DSM 25227, DSM:25227, KCTC 22172, KCTC:22172, SMK-146	yes	yes
Agrococcus carbonis	 DSM 22965, DSM:22965, G4, MTCC 10213, MTCC:10213	yes	yes
Fluviicoccus keumensis	 4DR5, DSM 105135, JCM 19370, JCM:19370, KCTC 32475, KCTC:32475	yes	yes
Gaetbulibacter aquiaggeris	 KCTC 42198, KCTC:42198, KEM-8, NBRC 110553, NBRC:110553	yes	no
Vibrio celticus	 BCCM/LMG:23850, CECT 7224, CECT:7224, DSM 26172, LMG 23850, LMG:23850, Rd 8.15	yes	yes
Virgibacillus halotolerans	 BCCM/LMG:26644, DSM 25060, DSM:25060, LMG 26644, LMG:26644, WS 4627, WS:4627	yes	no
Xanthomonas citri pv. aracearum	 BCCM/LMG:532, ICMP 5381, ICMP:5381, LMG 532, LMG:532, NCPPB 2832, NCPPB:2832	yes	no
Bacillus alkalisediminis	 DSM 21670, DSM:21670, K1-25, NCAIM B02301	yes	no
Nonomuraea coxensis	 5-38-42, DSM 45129, DSM:45129, JCM 13931, JCM:13931, MTCC 8090, MTCC:8090	yes	yes
Mannheimia haemolytica	 ATCC 33396, ATCC:33396, CCUG 12392, CCUG 408, CCUG:12392, CCUG:408, CIP 103426, CIP:103426, DSM 10531, DSM:10531, DSMZ 10531, J.A. Watt 1266A&amp;B, J.A. Watt 1266AB, NCTC 9380, NCTC:9380	yes	yes
Mycobacterium pseudoshottsii	 ATCC BAA-883, ATCC:BAA:883, DSM 45108, JCM 15466, JCM:15466, L15, NCTC 13318, NCTC:13318	yes	yes
Paenibacillus tylopili	 BCCM/LMG:23975, DSM 18927, DSM:18927, LMG 23975, LMG:23975, MK2	yes	no
Treponema berlinense	 7CPL208, ATCC BAA-909, ATCC:BAA:909, CIP 108244, CIP:108244, JCM 12341, JCM:12341	yes	yes
Bacillus atrophaeus	 ATCC 49337, ATCC:49337, BCCM/LMG:16797, CCUG 28524, CCUG:28524, CIP 107159, CIP:107159, DSM 7264, DSM:7264, IFO 15539, IFO:15539, JCM 9070, JCM:9070, LMG 16797, LMG:16797, NBRC 15539, NBRC:15539, NRRL NRS-213, NRRL:NRS:213, NRS-213	yes	yes
Kordiimonas lacus	 CGMCC 1.9109, CGMCC:1.9109, DSM 23258, JCM 16261, JCM:16261, S3-22	yes	yes
Labrys monachus	 42, ATCC 43932, ATCC:43932, DSM 5896, DSM:5896, JCM 21795, JCM:21795, VKM B-1479, VKM:B:1479	no	no
Methylacidimicrobium cyclopophantes	 3B	yes	no
Streptomyces xiamenensis	 CGMCC 4.3534, CGMCC:4.3534, DSM 41903, DSM:41903, JCM 16123, JCM:16123, MCCC 1A01550, MCCC:1A01550	yes	yes
Lactobacillus kefiri	 A/K, ATCC 35411, ATCC:35411, BCCM/LMG:9480, CCUG 30673, CCUG:30673, CIP 103006, CIP:103006, DSM 20587, DSM:20587, IFO 15888, IFO:15888, JCM 5818, JCM:5818, LMG 9480, LMG:9480, NBRC 15888, NBRC:15888	yes	yes
Streptomyces lavendulae subsp. grasserius	 ATCC 15875, ATCC 25457, ATCC:15875, ATCC:25457, CBS 690.69, CBS:690.69, DSM 40385, DSM:40385, IFO 13045, IFO:13045, ISP 5385, ISP:5385, JCM 4056, JCM 4556, JCM:4056, JCM:4556, NBRC 13045, NBRC:13045, NRRL B-3072, NRRL B-3372, NRRL ISP-5385, NRRL-ISP 5385, NRRL-ISP:5385, NRRL:B:3072, NRRL:B:3372, RIA 1237, RIA 746, RIA:1237, RIA:746, VKM Ac-1178, VKM:Ac:1178	yes	no
Acidithrix ferrooxidans	 DSM 28176, DSM:28176, JCM 19728, JCM:19728, PY-F3	yes	yes
Lactobacillus equicursoris	 DI70, DSM 19284, DSM:19284, JCM 14600, JCM:14600	yes	yes
Mycoplasma gypis	 ATCC 51370, ATCC:51370, B1/T1	yes	no
Pontibacter toksunensis	 CCTCC AB 208003, CCTCC:AB:208003, KCTC 23984, KCTC:23984, ZLD-7	yes	no
Streptomyces daqingensis	 CGMCC 4.7178, CGMCC:4.7178, JCM 30057, JCM:30057, NEAU-ZJC8	yes	no
Mycobacterium mantenii	 04-1474, CIP 109863, CIP:109863, DSM 45255, DSM:45255, JCM 18113, JCM:18113, NLA000401474	yes	yes
Shinella pollutisoli	 AH-1, CCTCC AB 2017242, CCTCC:AB:2017242, KCTC 52677, KCTC:52677	yes	no
Vitreoscilla beggiatoides	 ATCC 43189, ATCC:43189, B23SS	no	no
Psychrobacter cibarius	 DSM 16327, DSM:16327, JG-219, KCTC 12256, KCTC:12256	yes	no
Alteromonas facilis	 KCTC 62079, KCTC:62079, MCCC 1H00243, MCCC:1H00243, P0213	yes	yes
Flaviflexus salsibiostraticola	 EBR4-1-2, JCM 19016, JCM:19016, KCTC 33148, KCTC:33148	yes	yes
Olivibacter ginsenosidimutans	 BS18, JCM 18200, JCM:18200, KACC 16612, KACC16612, KACC:16612	yes	no
Pseudomonas abietaniphila	 ATCC 700689, ATCC:700689, BKME-9, CCUG 50779, CCUG:50779, CIP 106708, CIP:106708, DSM 17554	yes	yes
Mycolicibacterium senegalense	 ATCC 35796, ATCC:35796, CCUG 21001, CCUG:21001, CIP 104941, CIP:104941, DSM 43656, DSM:43656, IEMVT 378, JCM 15467, JCM:15467, NCTC 10956, NCTC:10956	yes	no
Halalkalicoccus tibetensis	 AS 1.3240, AS:1.3240, DS12, JCM 11890, JCM:11890	yes	no
Pseudospirillum japonicum	 ATCC 19191, ATCC:19191, BCCM/LMG:10146, CIP 103373, CIP:103373, DSM 7165, DSM:7165, IFO 15446, IFO:15446, LMG 10146, LMG:10146, NBRC 15446, NBRC:15446	yes	yes
Nocardioides alpinus	 BCCM/LMG:26053, CGMCC 1.10697, CGMCC:1.10697, Cr7-14, DSM 23325, DSM:23325, LMG 26053, LMG:26053	yes	yes
Desulfofrigus oceanense	 ASv26, DSM 12341, DSM:12341	yes	no
Actinomadura rudentiformis	 DSM 44962, DSM:44962, HMC1, JCM 14907, JCM:14907, NRRL B-24458, NRRL:B:24458	yes	no
Prauserella shujinwangii	 CGMCC 4.7125, CGMCC:4.7125, JCM 19736, JCM:19736, XJ46	yes	yes
Anaerovibrio lipolyticus	 ATCC 33276, ATCC:33276, CIP 105407, CIP:105407, DSM 3074, DSM:3074, VPI 7553, VPI:7553	yes	yes
Roseobacter ponti	 DSM 106830, KCTC 52469, KCTC:52469, MM-7, NBRC 112431, NBRC:112431	yes	no
Pediococcus siamensis	 BCC 21234, BCC:21234, JCM 13997, JCM:13997, MCH3-2, NRIC 0675, NRIC:0675	yes	no
Algicola bacteriolytica	 ATCC 700679, ATCC:700679, CIP 105725, CIP:105725, DSM 15384, IAM 14595, IAM:14595, JCM 21270, JCM:21270	yes	no
Mycobacterium setense	 ABO-M06, CIP 109395, DSM 45070, JCM 15660	yes	yes
Pseudomonas pachastrellae	 CCUG 46540, CCUG:46540, DSM 17577, JCM 12285, JCM:12285, KMM 330, KMM:330, NRIC 0583, NRIC:0583	yes	yes
Cylindrospermum marchicum	 CCALA 1001, CCALA:1001	yes	no
Giesbergeria voronezhensis	 CIP 107340, CIP:107340, D-419, DSM 12825, DSM:12825, VKM B-2350, VKM:B:2350	yes	no
Lactobacillus delbrueckii subsp. sunkii	 DSM 24966, DSM:24966, JCM 17838, JCM:17838, YIT 11221, YIT:11221	yes	yes
Silvimonas terrae	 DSM 18233, JCM 21671, JCM:21671, KCTC 12358, KCTC:12358, KM-45, NBRC 100961, NBRC:100961	yes	no
Clostridium diolis	 ATCC BAA-557, ATCC:BAA:557, DSM 15410, DSM 5431, DSM:15410, SH1	yes	yes
Xinfangfangia soli	 CCTCC AB 2017177, CCTCC:AB:2017177, KCTC 62102, KCTC:62102, ZQBW	yes	no
Peptoniphilus phoceensis	 SIT15	yes	yes
Streptomyces bungoensis	 AS 4.1653, AS:4.1653, DSM 41781, DSM:41781, FERM 8432, FERM:8432, IFO 15711, IFO:15711, JCM 9925, JCM:9925, MS16-10G, NBRC 15711, NBRC:15711	yes	yes
Novosphingobium lindaniclasticum	 CCM 7976, CCM:7976, DSM 25409, DSM:25409, LE124	yes	yes
Pantoea allii	 BCCM/LMG:24248, BD 390, BD 390 [PPPPB], BD 390 [Plant Pathogenic and Plant Protecting Bacteria (PPPPB)], DSM 25133, LMG 24248, LMG:24248	yes	yes
Candidatus Thiodictyon syntrophicum	 Cad16	yes	yes
Hymenobacter ginsengisoli	 DCY57, JCM 17841, KCTC 23674	yes	no
Photorhabdus caribbeanensis	 CIP 109949, CIP:109949, DSM 22391, DSM:22391, HG29	yes	no
Pseudonocardia lutea	 CGMCC 4.7397, CGMCC:4.7397, DSM 105123, JCM 32387, JCM:32387, NEAU-G57	yes	no
Pseudobacteroides cellulosolvens	 ATCC 35603, ATCC:35603, DSM 2933, DSM:2933, NRCC 2944, NRCC:2944, WM2	yes	yes
Pusillimonas harenae	 B201, DSM 25667, JCM 16917, JCM:16917, KACC 14927, KACC:14927	yes	yes
Sphingopyxis indica	 CCM 7542, CCM:7542, DS15, DSM 27519, MCC 2023, MCC:2023, MTCC 9455, MTCC:9455	yes	yes
Streptosporangium saharense	 CECT 8840, CECT:8840, DSM 46743, DSM:46743, SG20	yes	no
Nocardioides koreensis	 DSM 19266, DSM:19266, JCM 16022, JCM:16022, KCTC 19272, KCTC:19272, MSL-09	yes	no
Clostridium kogasensis	 JCM 18719, JCM:18719, KCTC 15258, KCTC:15258, YHK0403	yes	no
Fusibacter fontis	 DSM 28450, DSM:28450, JCM 19912, JCM:19912, KhalAKB1	yes	no
Vagococcus humatus	 C25, JCM 31581, JCM:31581, KEMB 562-002, KEMB:562-002, KEMC:562-002	yes	yes
Erythrobacter zhengii	 KCTC 62389, MCCC 1K03475, V18	no	no
Micromonospora wenchangensis	 2602GPT1-05, CCTCC AA 2012002, CCTCC:AA:2012002, DSM 45709, DSM:45709	yes	yes
Streptomyces cinereospinus	 AS 4.163, AS:4.163, ATCC 43680, ATCC:43680, DSM 41470, DSM:41470, IFO 15397, IFO:15397, INA 1719, INA:1719, JCM 6917, JCM:6917, NBRC 15397, NBRC:15397, VKM Ac-1215, VKM:Ac:1215	yes	no
Paenibacillus hemerocallicola	 DLE-12, JCM 19572, JCM:19572, KCTC 33185, KCTC:33185	yes	no
Streptomyces griseoverticillatus	 ATCC 27436, ATCC:27436, BCRC 12430, BCRC:12430, CBS 721.72, CBS:721.72, CCRC 12430, CCRC:12430, CGMCC 4.1842, CGMCC:4.1842, DSM 40507, DSM:40507, IFO 13420, IFO:13420, ISP 5507, ISP:5507, JCM 4202, JCM 4767, JCM:4202, JCM:4767, NBRC 13420, NBRC:13420, NRRL B-12432, NRRL-ISP 5507, NRRL-ISP:5507, NRRL:B:12432, PCM 2351, PCM:2351, RIA 1381, RIA:1381, VKM Ac-883, VKM:Ac:883	yes	no
Cronobacter turicensis	 3032, BCCM/LMG:23827, DSM 18703, DSM:18703, LMG 23827, LMG:23827, z3032	yes	no
Corynebacterium timonense	 5401744, CCUG 53856, CCUG:53856, CIP 109424, CIP:109424, CSUR P20, DSM 45434, DSM:45434	yes	yes
Actinoplanes tereljensis	 DSM 45572, MN07-A0371, NBRC 105297, NBRC:105297, VTCC D9-10	yes	no
Lancefieldella rimae	 ATCC 49626, CCUG 31168, DSM 7090, IFO 15546, JCM 10299, LMG 11476, NBRC 15546, VPI D140H-11A	yes	yes
Micropepsis pineolensis	 ATCC BAA-2724, ATCC:BAA:2724, CS4, JCM 30711, JCM:30711	yes	no
Marinomonas profundimaris	 25BN12M-4, BCCM/LMG:27696, D104, LMG 27696, LMG:27696, MCCC 1A07573, MCCC:1A07573	yes	yes
